iter	Passed	Remaining
0	18	36497
1	35	35013
2	51	34480
3	68	33998
4	189	75531
5	223	74303
6	240	68609
7	257	64017
8	273	60524
9	290	57753
10	306	55481
11	322	53499
12	340	51968
13	357	50707
14	374	49621
15	392	48675
16	413	48195
17	431	47562
18	448	46799
19	465	46103
20	483	45548
21	501	45078
22	517	44512
23	535	44125
24	552	43641
25	569	43246
26	586	42884
27	603	42512
28	619	42119
29	636	41816
30	653	41502
31	670	41265
32	687	41002
33	704	40753
34	720	40475
35	737	40238
36	754	40021
37	770	39800
38	787	39611
39	804	39426
40	822	39286
41	838	39077
42	854	38878
43	871	38729
44	887	38558
45	903	38397
46	919	38224
47	936	38085
48	955	38031
49	970	37860
50	989	37800
51	1007	37728
52	1027	37735
53	1047	37741
54	1065	37693
55	1087	37747
56	1115	38038
57	1136	38052
58	1156	38032
59	1181	38216
60	1190	37850
61	1226	38334
62	1247	38340
63	1270	38425
64	1290	38416
65	1308	38332
66	1325	38238
67	1342	38129
68	1359	38053
69	1375	37935
70	1392	37837
71	1409	37747
72	1425	37638
73	1442	37549
74	1460	37473
75	1476	37382
76	1493	37306
77	1509	37205
78	1527	37142
79	1543	37046
80	1560	36973
81	1577	36897
82	1597	36895
83	1619	36950
84	1640	36948
85	1660	36947
86	1678	36901
87	1697	36872
88	1717	36874
89	1739	36920
90	1763	36990
91	1781	36956
92	1800	36926
93	1818	36875
94	1838	36857
95	1858	36868
96	1879	36870
97	1899	36870
98	1919	36851
99	1940	36865
100	1961	36883
101	1981	36868
102	2004	36913
103	2027	36957
104	2048	36962
105	2067	36940
106	2086	36915
107	2105	36890
108	2127	36903
109	2146	36883
110	2169	36926
111	2193	36975
112	2213	36961
113	2233	36957
114	2255	36963
115	2276	36978
116	2297	36977
117	2317	36966
118	2338	36963
119	2361	36997
120	2382	36992
121	2401	36974
122	2425	37010
123	2449	37059
124	2469	37047
125	2491	37049
126	2514	37079
127	2536	37094
128	2557	37100
129	2579	37110
130	2595	37032
131	2612	36967
132	2628	36898
133	2645	36839
134	2662	36775
135	2678	36713
136	2694	36637
137	2710	36576
138	2727	36520
139	2744	36462
140	2760	36399
141	2777	36338
142	2793	36273
143	2809	36216
144	2826	36157
145	2846	36142
146	2863	36093
147	2880	36050
148	2896	35985
149	2912	35924
150	2928	35862
151	2946	35825
152	2963	35772
153	2981	35736
154	2997	35682
155	3014	35633
156	3031	35588
157	3049	35551
158	3065	35495
159	3082	35449
160	3098	35394
161	3115	35344
162	3131	35296
163	3148	35247
164	3164	35191
165	3181	35145
166	3201	35140
167	3219	35112
168	3240	35112
169	3258	35073
170	3275	35032
171	3291	34982
172	3309	34945
173	3325	34903
174	3342	34855
175	3359	34815
176	3376	34776
177	3392	34728
178	3408	34678
179	3426	34642
180	3443	34605
181	3459	34557
182	3479	34543
183	3496	34508
184	3511	34455
185	3527	34401
186	3544	34365
187	3560	34320
188	3576	34274
189	3597	34272
190	3617	34257
191	3639	34269
192	3661	34282
193	3686	34314
194	3703	34283
195	3721	34251
196	3739	34224
197	3757	34201
198	3775	34165
199	3791	34124
200	3808	34085
201	3824	34042
202	3841	34002
203	3858	33969
204	3874	33928
205	3891	33886
206	3907	33843
207	3923	33799
208	3940	33765
209	3957	33737
210	3973	33693
211	3989	33647
212	4005	33601
213	4022	33571
214	4044	33582
215	4064	33566
216	4080	33529
217	4097	33495
218	4114	33456
219	4130	33421
220	4147	33383
221	4163	33345
222	4179	33306
223	4195	33265
224	4211	33223
225	4231	33214
226	4251	33203
227	4268	33174
228	4285	33141
229	4302	33107
230	4318	33072
231	4336	33045
232	4354	33024
233	4371	32993
234	4389	32966
235	4406	32938
236	4423	32908
237	4442	32892
238	4466	32909
239	4484	32889
240	4503	32866
241	4521	32848
242	4539	32819
243	4556	32791
244	4574	32767
245	4592	32741
246	4610	32718
247	4628	32699
248	4648	32691
249	4666	32665
250	4683	32634
251	4700	32607
252	4718	32580
253	4736	32561
254	4753	32531
255	4770	32502
256	4788	32475
257	4806	32453
258	4823	32421
259	4842	32405
260	4864	32413
261	4884	32401
262	4903	32382
263	4923	32373
264	4943	32368
265	4962	32346
266	4980	32327
267	5001	32325
268	5019	32297
269	5039	32291
270	5064	32311
271	5083	32292
272	5100	32266
273	5119	32246
274	5137	32224
275	5153	32191
276	5171	32166
277	5190	32149
278	5210	32139
279	5228	32115
280	5249	32113
281	5266	32087
282	5285	32068
283	5302	32041
284	5322	32026
285	5342	32015
286	5359	31988
287	5377	31963
288	5395	31940
289	5413	31923
290	5431	31901
291	5450	31881
292	5468	31861
293	5486	31837
294	5508	31834
295	5529	31830
296	5545	31800
297	5563	31776
298	5581	31754
299	5598	31727
300	5616	31700
301	5635	31683
302	5652	31657
303	5678	31680
304	5695	31651
305	5712	31626
306	5730	31601
307	5747	31575
308	5768	31566
309	5788	31556
310	5806	31535
311	5827	31526
312	5847	31516
313	5871	31528
314	5892	31519
315	5910	31496
316	5926	31465
317	5942	31432
318	5959	31402
319	5975	31373
320	5993	31346
321	6012	31332
322	6030	31310
323	6047	31280
324	6065	31258
325	6083	31239
326	6099	31208
327	6115	31175
328	6132	31146
329	6147	31111
330	6164	31085
331	6182	31059
332	6197	31026
333	6216	31006
334	6232	30974
335	6247	30941
336	6264	30911
337	6280	30882
338	6296	30850
339	6312	30820
340	6329	30792
341	6348	30776
342	6365	30752
343	6381	30721
344	6401	30707
345	6419	30688
346	6435	30658
347	6452	30629
348	6468	30602
349	6487	30584
350	6504	30559
351	6521	30530
352	6537	30502
353	6553	30473
354	6569	30441
355	6586	30414
356	6601	30383
357	6618	30356
358	6635	30331
359	6651	30303
360	6668	30276
361	6685	30250
362	6702	30225
363	6719	30199
364	6734	30167
365	6751	30140
366	6767	30111
367	6783	30082
368	6799	30054
369	6815	30026
370	6832	30000
371	6850	29981
372	6872	29976
373	6891	29960
374	6909	29941
375	6924	29909
376	6940	29878
377	6957	29856
378	6975	29834
379	6993	29814
380	7011	29794
381	7028	29769
382	7045	29747
383	7062	29722
384	7079	29696
385	7096	29674
386	7113	29646
387	7129	29620
388	7146	29595
389	7162	29570
390	7179	29542
391	7195	29515
392	7211	29488
393	7226	29457
394	7243	29432
395	7259	29406
396	7276	29381
397	7293	29356
398	7311	29339
399	7328	29313
400	7343	29283
401	7361	29261
402	7376	29232
403	7392	29204
404	7409	29179
405	7425	29154
406	7442	29128
407	7459	29105
408	7475	29079
409	7492	29056
410	7509	29031
411	7525	29006
412	7541	28980
413	7558	28957
414	7576	28938
415	7594	28916
416	7610	28892
417	7626	28864
418	7643	28840
419	7660	28816
420	7677	28793
421	7697	28782
422	7713	28756
423	7729	28730
424	7745	28705
425	7761	28678
426	7778	28655
427	7795	28633
428	7812	28610
429	7828	28582
430	7844	28555
431	7862	28538
432	7878	28512
433	7894	28487
434	7911	28462
435	7926	28435
436	7943	28409
437	7959	28386
438	7977	28366
439	7993	28339
440	8009	28315
441	8026	28291
442	8042	28266
443	8059	28245
444	8076	28222
445	8094	28204
446	8113	28188
447	8130	28165
448	8147	28144
449	8164	28120
450	8181	28100
451	8199	28080
452	8215	28055
453	8232	28032
454	8248	28009
455	8265	27985
456	8282	27965
457	8301	27947
458	8318	27926
459	8335	27905
460	8351	27880
461	8368	27859
462	8385	27836
463	8401	27812
464	8418	27788
465	8434	27765
466	8451	27741
467	8467	27718
468	8483	27694
469	8501	27673
470	8519	27656
471	8536	27635
472	8555	27620
473	8572	27598
474	8591	27583
475	8612	27574
476	8630	27555
477	8646	27532
478	8663	27509
479	8679	27486
480	8696	27463
481	8712	27439
482	8729	27417
483	8745	27394
484	8763	27375
485	8780	27353
486	8797	27332
487	8814	27311
488	8835	27300
489	8854	27285
490	8872	27266
491	8889	27246
492	8905	27222
493	8924	27208
494	8941	27185
495	8958	27164
496	8975	27141
497	8991	27119
498	9007	27096
499	9024	27072
500	9041	27052
501	9058	27029
502	9075	27009
503	9092	26987
504	9108	26966
505	9130	26957
506	9150	26945
507	9171	26937
508	9192	26925
509	9212	26913
510	9231	26900
511	9252	26888
512	9271	26874
513	9289	26855
514	9305	26831
515	9326	26823
516	9342	26798
517	9358	26774
518	9374	26749
519	9389	26724
520	9405	26700
521	9422	26677
522	9438	26654
523	9454	26632
524	9471	26610
525	9488	26589
526	9504	26566
527	9521	26544
528	9538	26524
529	9554	26501
530	9570	26477
531	9586	26454
532	9602	26430
533	9618	26406
534	9635	26384
535	9651	26361
536	9668	26341
537	9685	26320
538	9701	26296
539	9721	26283
540	9736	26259
541	9752	26235
542	9769	26213
543	9785	26190
544	9801	26167
545	9819	26148
546	9834	26124
547	9851	26103
548	9868	26081
549	9884	26058
550	9902	26040
551	9918	26018
552	9934	25994
553	9950	25972
554	9966	25948
555	9983	25929
556	9999	25904
557	10015	25882
558	10033	25865
559	10050	25844
560	10066	25821
561	10082	25799
562	10098	25774
563	10114	25751
564	10134	25738
565	10149	25715
566	10165	25691
567	10181	25668
568	10197	25645
569	10213	25623
570	10229	25601
571	10246	25580
572	10266	25568
573	10285	25551
574	10305	25540
575	10327	25531
576	10350	25526
577	10370	25513
578	10387	25494
579	10405	25475
580	10423	25457
581	10440	25438
582	10458	25419
583	10477	25403
584	10493	25381
585	10510	25361
586	10527	25340
587	10547	25328
588	10566	25312
589	10582	25290
590	10600	25271
591	10616	25250
592	10633	25230
593	10651	25211
594	10737	25354
595	10788	25415
596	10832	25457
597	10849	25437
598	10866	25415
599	10882	25392
600	10898	25370
601	10917	25352
602	10937	25339
603	10955	25320
604	10974	25305
605	10991	25284
606	11007	25261
607	11026	25243
608	11049	25236
609	11065	25215
610	11096	25225
611	11132	25247
612	11160	25251
613	11179	25235
614	11195	25213
615	11213	25193
616	11231	25174
617	11248	25153
618	11266	25135
619	11282	25113
620	11299	25092
621	11315	25069
622	11335	25055
623	11353	25035
624	11369	25012
625	11386	24991
626	11404	24972
627	11423	24956
628	11443	24943
629	11463	24928
630	11490	24929
631	11510	24914
632	11540	24921
633	11557	24901
634	11575	24883
635	11594	24865
636	11611	24846
637	11633	24835
638	11651	24815
639	11668	24795
640	11684	24773
641	11701	24751
642	11717	24729
643	11737	24714
644	11754	24694
645	11772	24675
646	11788	24652
647	11804	24629
648	11820	24606
649	11837	24586
650	11854	24563
651	11870	24542
652	11887	24521
653	11903	24498
654	11919	24476
655	11935	24452
656	11951	24431
657	11967	24408
658	11984	24388
659	12001	24366
660	12018	24346
661	12035	24324
662	12051	24303
663	12067	24281
664	12084	24259
665	12101	24238
666	12125	24231
667	12154	24237
668	12175	24224
669	12195	24209
670	12213	24190
671	12231	24171
672	12250	24155
673	12269	24138
674	12287	24120
675	12305	24101
676	12325	24085
677	12341	24064
678	12357	24042
679	12375	24022
680	12392	24002
681	12410	23984
682	12428	23964
683	12445	23944
684	12461	23921
685	12477	23900
686	12494	23879
687	12511	23858
