iter	Accuracy	MultiClass
0	0.7088607595	0.9654629259
1	0.6877637131	0.9023630698
2	0.7046413502	0.8352016317
3	0.7094635322	0.7971613012
4	0.7227245329	0.7536060097
5	0.7359855335	0.7239142412
6	0.7432188065	0.7063646787
7	0.744424352	0.6805933294
8	0.7498493068	0.6605040843
9	0.7613019892	0.642220107
10	0.7673297167	0.6340951048
11	0.7679324895	0.6248296958
12	0.7679324895	0.6155574851
13	0.7667269439	0.607413829
14	0.7751657625	0.5942514288
15	0.7781796263	0.5834714904
16	0.7817962628	0.5775985666
17	0.7823990356	0.5723257386
18	0.7830018083	0.5698298372
19	0.7908378541	0.5672217542
20	0.7908378541	0.5604191614
21	0.801084991	0.5517862376
22	0.8040988547	0.5444711527
23	0.8016877637	0.5409171497
24	0.8028933092	0.5383423208
25	0.8047016275	0.535857059
26	0.808318264	0.5317549251
27	0.805907173	0.5260804423
28	0.8095238095	0.5205231418
29	0.8125376733	0.5165069531
30	0.8119349005	0.5144981466
31	0.8125376733	0.5081232683
32	0.8149487643	0.5044388775
33	0.8149487643	0.5011325723
34	0.8167570826	0.4979954539
35	0.8209764919	0.4936130912
36	0.8179626281	0.4890969638
37	0.8203737191	0.4858597103
38	0.8209764919	0.4830809392
39	0.8203737191	0.4809509135
40	0.8227848101	0.4765698537
41	0.8264014467	0.4718225631
42	0.8306208559	0.4667546356
43	0.8318264014	0.4639604428
44	0.8324291742	0.4605565903
45	0.8324291742	0.4574226822
46	0.8384569017	0.4524030425
47	0.8438818565	0.4477703661
48	0.8444846293	0.4452659451
49	0.8487040386	0.4400178675
50	0.8505123568	0.4365042397
51	0.8535262206	0.4316372459
52	0.8553345389	0.4248492747
53	0.8547317661	0.4233042707
54	0.8559373116	0.4203469984
55	0.8571428571	0.4189047201
56	0.8589511754	0.4138753195
57	0.8631705847	0.4095603021
58	0.8625678119	0.4084773455
59	0.8637733574	0.4063360973
60	0.864978903	0.4041383005
61	0.8661844485	0.4028019787
62	0.864978903	0.3986945134
63	0.8704038577	0.3932977095
64	0.8710066305	0.3917987348
65	0.8728149488	0.3880628506
66	0.8734177215	0.3857374158
67	0.8728149488	0.3827472602
68	0.8740204943	0.3810708695
69	0.8740204943	0.3756885551
70	0.8740204943	0.3731885066
71	0.8776371308	0.3703116947
72	0.8788426763	0.367890691
73	0.8794454491	0.3665277761
74	0.8794454491	0.3651282338
75	0.8806509946	0.3623793432
76	0.8806509946	0.3585461991
77	0.8812537673	0.3561070452
78	0.8848704039	0.3540722342
79	0.8872814949	0.3520916981
80	0.8884870404	0.3501243133
81	0.8902953586	0.3487797785
82	0.8915009042	0.3460892014
83	0.8933092224	0.3444956926
84	0.8945147679	0.3421621449
85	0.8927064497	0.3402975779
86	0.8945147679	0.3380853275
87	0.896925859	0.3355826691
88	0.8987341772	0.3331027883
89	0.9035563593	0.3304488132
90	0.9035563593	0.3280727751
91	0.9035563593	0.3237675182
92	0.9035563593	0.3229528877
93	0.9035563593	0.3216118294
94	0.9047619048	0.3202853661
95	0.9071729958	0.3179490228
96	0.9083785413	0.3167239318
97	0.9101868596	0.3143922597
98	0.9119951778	0.3097515223
99	0.9150090416	0.3051505697
100	0.9162145871	0.3031612899
101	0.9144062688	0.3000208112
102	0.9186256781	0.2983829489
103	0.9180229054	0.2969606536
104	0.9180229054	0.2939260048
105	0.9192284509	0.2931561322
106	0.9210367691	0.2896320424
107	0.9216395419	0.2878517523
108	0.9204339964	0.286247254
109	0.9228450874	0.2829120041
110	0.9228450874	0.2827771705
111	0.9246534057	0.2814744654
112	0.9246534057	0.2806761431
113	0.9258589512	0.278965208
114	0.9270644967	0.277338847
115	0.9258589512	0.2756188591
116	0.9276672694	0.2742215335
117	0.9270644967	0.2736884434
118	0.9258589512	0.2727337382
119	0.9276672694	0.2721989489
120	0.9288728149	0.2698846315
121	0.9300783605	0.2685180046
122	0.9306811332	0.2676135065
123	0.9306811332	0.2644254558
124	0.9330922242	0.2630120564
125	0.9342977697	0.2620055244
126	0.9367088608	0.2603341835
127	0.9373116335	0.2582813758
128	0.938517179	0.2560382513
129	0.9379144063	0.2550904291
130	0.938517179	0.2531787218
131	0.94092827	0.2506710055
132	0.9439421338	0.2475485719
133	0.9445449066	0.2462644507
134	0.9439421338	0.2446211068
135	0.9439421338	0.2423709054
136	0.9445449066	0.2411800735
137	0.9451476793	0.2400864522
138	0.9475587703	0.237892993
139	0.9499698614	0.2355718086
140	0.9499698614	0.2343920578
141	0.9499698614	0.2334084159
142	0.9499698614	0.2321585754
143	0.9511754069	0.2299329719
144	0.9511754069	0.2294971821
145	0.9511754069	0.2284238157
146	0.9547920434	0.2258395335
147	0.9535864979	0.2251582569
148	0.9541892706	0.2239791718
149	0.9547920434	0.2235139575
150	0.9547920434	0.2227003593
151	0.9553948162	0.2214621453
152	0.9547920434	0.2195819024
153	0.9535864979	0.2188559263
154	0.9547920434	0.2180747624
155	0.9547920434	0.2174805582
156	0.9566003617	0.2163285179
