iter	Passed	Remaining
0	24	5480
1	34	3874
2	43	3280
3	81	4570
4	121	5385
5	143	5294
6	162	5108
7	201	5515
8	242	5884
9	279	6056
10	318	6253
11	365	6544
12	404	6662
13	446	6788
14	482	6815
15	523	6905
16	565	6980
17	603	7007
18	645	7068
19	692	7166
20	744	7299
21	805	7506
22	873	7749
23	927	7842
24	993	8027
25	1057	8178
26	1105	8185
27	1163	8269
28	1209	8255
29	1256	8249
30	1342	8489
31	1424	8681
32	1485	8731
33	1535	8716
34	1583	8685
35	1635	8676
36	1688	8671
37	1740	8656
38	1804	8699
39	1868	8735
40	1917	8700
41	1954	8607
42	2001	8566
43	2047	8516
44	2088	8448
45	2130	8381
46	2175	8330
47	2216	8264
48	2253	8187
49	2286	8093
50	2322	8016
51	2363	7955
52	2403	7889
53	2448	7844
54	2493	7798
55	2527	7718
56	2569	7663
57	2611	7610
58	2656	7564
59	2701	7519
60	2751	7486
61	2798	7448
62	2836	7382
63	2874	7321
64	2914	7264
65	2957	7215
66	2996	7156
67	3036	7100
68	3083	7059
69	3125	7009
70	3162	6948
71	3209	6909
72	3253	6863
73	3290	6803
74	3332	6754
75	3360	6675
76	3392	6608
77	3433	6559
78	3472	6505
79	3520	6469
80	3559	6415
81	3601	6367
82	3647	6328
83	3689	6280
84	3734	6238
85	3785	6205
86	3822	6150
87	3866	6106
88	3901	6049
89	3947	6008
90	3985	5955
91	4024	5905
92	4063	5855
93	4110	5815
94	4151	5768
95	4195	5725
96	4236	5678
97	4280	5634
98	4323	5590
99	4365	5544
100	4406	5496
101	4446	5449
102	4480	5394
103	4523	5349
104	4559	5297
105	4601	5252
106	4647	5212
107	4696	5175
108	4740	5131
109	4778	5083
110	4827	5044
111	4862	4992
112	4908	4952
113	4954	4911
114	4998	4867
115	5042	4824
116	5083	4779
117	5128	4737
118	5167	4690
119	5216	4651
120	5260	4608
121	5307	4567
122	5350	4524
123	5392	4479
124	5437	4436
125	5478	4391
126	5526	4351
127	5562	4302
128	5608	4261
129	5655	4219
130	5695	4173
131	5743	4133
132	5787	4090
133	5821	4040
134	5864	3996
135	5905	3951
136	5933	3897
137	5970	3850
138	6022	3812
139	6055	3763
140	6092	3715
141	6133	3671
142	6177	3628
143	6216	3583
144	6258	3539
145	6291	3490
146	6328	3443
147	6371	3400
148	6410	3355
149	6456	3314
150	6495	3269
151	6533	3223
152	6572	3178
153	6612	3134
154	6648	3088
155	6697	3048
156	6746	3008
