iter	Passed	Remaining
0	270	269994
1	366	182778
2	481	159994
3	582	145071
4	689	137286
5	971	160875
6	1081	153363
7	1182	146633
8	1272	140134
9	1374	136047
10	1465	131770
11	1578	129952
12	1678	127439
13	1783	125591
14	1887	123950
15	1991	122487
16	2094	121099
17	2200	120054
18	2298	118691
19	2410	118122
20	2510	117017
21	2624	116650
22	2720	115549
23	2829	115082
24	2933	114409
25	3051	114330
26	3162	113981
27	3262	113256
28	3364	112659
29	3479	112497
30	3578	111842
31	3682	111393
32	3786	110947
33	3910	111115
34	4002	110356
35	4098	109750
36	4193	109155
37	4304	108967
38	4396	108330
39	4494	107857
40	4593	107432
41	4698	107169
42	4792	106662
43	4903	106542
44	4995	106020
45	5092	105624
46	5201	105475
47	5297	105074
48	5391	104641
49	5489	104307
50	5590	104034
51	5690	103740
52	5790	103457
53	5897	103314
54	6000	103103
55	6104	102901
56	6206	102681
57	6302	102364
58	6406	102176
59	6471	101390
60	6569	101130
61	6666	100859
62	6769	100682
63	6901	100938
64	7025	101055
65	7125	100833
66	7223	100596
67	7329	100457
68	7429	100247
69	7531	100065
70	7634	99890
71	7747	99862
72	7866	99896
73	7979	99851
74	8088	99762
75	8197	99666
76	8311	99632
77	8416	99491
78	8531	99460
79	8633	99286
80	8749	99272
81	8881	99434
82	9007	99515
83	9117	99423
84	9235	99415
85	9351	99386
86	9414	98802
87	9533	98804
88	9647	98749
89	9764	98727
90	9894	98833
91	9996	98661
92	10094	98445
93	10182	98143
94	10299	98118
95	10426	98178
96	10522	97960
97	10619	97741
98	10727	97627
99	10840	97561
100	10939	97369
101	11045	97246
102	11145	97060
103	11242	96861
104	11342	96682
105	11429	96393
106	11520	96149
107	11616	95946
108	11718	95794
109	11823	95660
110	11925	95511
111	12023	95327
112	12122	95154
113	12222	94989
114	12249	94264
115	12344	94073
116	12450	93965
117	12539	93724
118	12633	93531
119	12735	93395
120	12832	93218
121	12925	93018
122	13003	92717
123	13099	92541
124	13197	92383
125	13292	92204
126	13384	92007
127	13484	91865
128	13583	91715
129	13672	91503
130	13797	91525
131	13899	91398
132	14003	91286
133	14097	91108
134	14186	90897
135	14286	90761
136	14383	90606
137	14486	90488
138	14588	90365
139	14683	90200
140	14774	90011
141	14883	89932
142	14985	89806
143	15039	89400
144	15139	89273
145	15199	88906
146	15306	88821
147	15406	88694
148	15507	88569
149	15605	88430
150	15729	88438
151	15848	88419
152	15937	88230
153	16027	88044
154	16122	87896
155	16222	87766
156	16313	87594
157	16404	87419
158	16498	87264
159	16593	87116
160	16688	86968
161	16786	86835
162	16911	86840
163	17004	86683
164	17096	86519
165	17197	86403
166	17286	86227
167	17395	86148
168	17479	85948
169	17570	85787
170	17670	85667
171	17770	85544
172	17883	85491
173	17995	85427
174	18099	85326
175	18227	85336
176	18332	85239
177	18426	85093
178	18519	84940
179	18614	84801
180	18720	84707
181	18826	84615
182	18927	84503
183	19027	84383
184	19135	84299
185	19245	84223
186	19340	84086
187	19398	83782
188	19493	83648
189	19601	83563
190	19702	83453
191	19805	83346
192	19901	83214
193	20014	83153
194	20128	83094
195	20232	82993
196	20342	82918
197	20456	82859
198	20558	82752
199	20665	82660
200	20777	82594
201	20892	82535
202	21001	82455
203	21123	82421
204	21225	82312
205	21343	82265
206	21460	82214
207	21581	82176
208	21704	82143
209	21822	82094
210	21930	82004
211	22022	81857
212	22125	81749
213	22221	81618
214	22317	81484
215	22410	81340
216	22522	81267
217	22621	81146
218	22703	80966
219	22808	80867
220	22873	80625
221	22975	80516
222	23059	80344
223	23143	80174
224	23240	80049
225	23338	79930
226	23438	79813
227	23533	79682
228	23628	79551
229	23723	79422
230	23837	79355
231	23943	79261
232	24028	79096
233	24121	78962
234	24224	78857
235	24277	78594
236	24332	78335
237	24420	78187
238	24469	77914
239	24543	77719
240	24593	77452
241	24688	77330
242	24784	77208
243	24834	76947
244	24928	76820
245	25020	76687
246	25123	76592
247	25210	76446
248	25300	76307
249	25391	76173
250	25492	76070
251	25592	75963
252	25673	75804
253	25773	75698
254	25893	75650
255	25986	75522
256	26085	75413
257	26184	75306
258	26287	75207
259	26383	75092
260	26482	74982
261	26573	74853
262	26691	74796
263	26803	74725
264	26903	74619
265	27003	74513
266	27134	74493
267	27226	74364
268	27324	74253
269	27428	74157
270	27538	74078
271	27646	73996
272	27773	73960
273	27928	73999
274	28030	73899
275	28123	73774
276	28223	73665
277	28313	73533
278	28415	73431
279	28469	73207
280	28563	73085
281	28659	72970
282	28766	72882
283	28876	72801
284	28967	72673
285	29061	72551
286	29147	72411
287	29251	72315
288	29365	72245
289	29479	72174
290	29594	72104
291	29694	71998
292	29809	71930
293	29909	71824
294	29997	71689
295	30108	71608
296	30194	71469
297	30279	71329
298	30380	71225
299	30483	71127
300	30578	71010
301	30673	70893
302	30763	70765
303	30881	70701
304	31008	70658
305	31100	70534
306	31199	70426
307	31265	70246
308	31367	70146
309	31465	70036
310	31539	69873
311	31639	69768
312	31743	69673
313	31838	69558
314	31955	69491
315	32071	69421
316	32196	69369
317	32320	69317
318	32437	69248
319	32569	69209
320	32677	69121
321	32794	69052
322	32911	68980
323	33002	68856
324	33110	68767
325	33212	68665
326	33326	68590
327	33459	68550
328	33576	68480
329	33695	68411
330	33837	68389
331	33975	68361
332	34084	68270
333	34184	68163
334	34288	68064
335	34358	67899
336	34454	67783
337	34554	67678
338	34669	67600
339	34776	67507
340	34887	67421
341	34988	67316
342	35100	67233
343	35204	67133
344	35306	67030
345	35409	66930
346	35523	66850
347	35621	66738
348	35709	66609
349	35825	66532
350	35927	66429
351	36021	66313
352	36125	66212
353	36220	66097
354	36318	65986
355	36418	65880
356	36499	65739
357	36593	65623
358	36684	65500
359	36796	65416
360	36899	65315
361	36989	65190
362	37086	65080
363	37187	64975
364	37278	64854
365	37371	64736
366	37471	64630
367	37560	64506
368	37667	64412
369	37782	64332
370	37893	64245
371	37982	64120
372	38083	64017
373	38178	63902
374	38264	63774
375	38354	63652
376	38452	63543
377	38548	63431
378	38649	63327
379	38751	63225
380	38863	63139
381	38964	63036
382	39066	62934
383	39163	62824
384	39267	62725
385	39370	62625
386	39479	62535
387	39567	62410
388	39668	62307
389	39783	62225
390	39884	62121
391	39978	62007
392	40064	61881
393	40162	61773
394	40258	61661
395	40349	61542
396	40443	61429
397	40542	61322
398	40652	61233
399	40770	61155
400	40878	61063
401	40986	60969
402	41079	60854
403	41173	60741
404	41270	60632
405	41357	60508
406	41458	60405
407	41558	60300
408	41655	60191
409	41747	60075
410	41859	59988
411	41960	59885
412	42064	59786
413	42154	59668
414	42256	59566
415	42360	59468
416	42459	59362
417	42562	59261
418	42670	59168
419	42774	59069
420	42874	58965
421	42971	58856
422	43071	58752
423	43171	58647
424	43271	58543
425	43371	58439
426	43478	58344
427	43572	58231
428	43661	58113
429	43764	58013
430	43874	57922
431	43971	57814
432	44072	57711
433	44189	57629
434	44300	57539
435	44410	57448
436	44511	57346
437	44622	57255
438	44745	57180
439	44864	57099
440	44968	57001
441	45075	56905
442	45199	56831
443	45303	56731
444	45411	56637
445	45528	56553
446	45629	56450
447	45745	56365
448	45853	56269
449	45987	56207
450	46095	56111
451	46208	56022
452	46303	55911
453	46414	55820
454	46505	55704
455	46601	55594
456	46701	55490
457	46819	55406
458	46916	55297
459	47019	55197
460	47116	55088
461	47216	54983
462	47319	54882
463	47410	54767
464	47515	54668
465	47612	54559
466	47708	54451
467	47811	54350
468	47908	54241
469	47999	54127
470	48107	54032
471	48200	53918
472	48299	53813
473	48392	53701
474	48488	53592
475	48580	53479
476	48674	53368
477	48774	53264
478	48869	53155
479	48964	53044
480	49060	52936
481	49154	52825
482	49241	52707
483	49343	52606
484	49429	52487
485	49514	52366
486	49599	52247
487	49698	52142
488	49809	52050
489	49909	51946
490	50006	51839
491	50098	51728
492	50210	51636
493	50309	51532
494	50415	51433
495	50516	51331
496	50627	51238
497	50727	51135
498	50835	51038
499	50929	50929
500	51037	50833
501	51130	50722
502	51224	50613
503	51322	50508
504	51422	50404
505	51519	50297
506	51621	50196
507	51721	50092
508	51821	49988
509	51936	49899
510	52051	49810
511	52146	49701
512	52232	49585
513	52326	49476
514	52426	49372
515	52535	49277
516	52625	49164
517	52733	49068
518	52840	48972
519	52942	48870
520	53039	48763
521	53144	48665
522	53235	48552
523	53334	48448
524	53438	48349
525	53536	48243
526	53634	48138
527	53750	48049
528	53851	47947
529	53961	47852
530	54065	47752
531	54150	47636
532	54249	47532
533	54346	47426
534	54450	47325
535	54537	47211
536	54634	47105
537	54737	47005
538	54833	46898
539	54925	46788
540	55025	46685
541	55121	46578
542	55218	46472
543	55299	46353
544	55396	46248
545	55493	46143
546	55594	46040
547	55701	45943
548	55810	45848
549	55906	45741
550	55990	45625
551	56098	45529
552	56216	45441
553	56329	45348
554	56442	45255
555	56556	45163
556	56656	45061
557	56775	44972
558	56883	44876
559	57011	44794
560	57137	44711
561	57241	44611
562	57366	44527
563	57478	44434
564	57593	44341
565	57704	44247
566	57831	44164
567	57961	44083
568	58090	44001
569	58192	43899
570	58289	43793
571	58387	43688
572	58481	43580
573	58566	43465
574	58671	43365
575	58788	43274
576	58888	43171
577	58993	43071
578	59087	42963
579	59178	42853
580	59272	42745
581	59357	42631
582	59478	42543
583	59571	42434
584	59656	42320
585	59772	42228
586	59867	42121
587	59954	42008
588	60044	41898
589	60135	41789
590	60226	41679
591	60325	41575
592	60419	41468
593	60517	41363
594	60602	41250
595	60703	41147
596	60805	41046
597	60900	40939
598	60991	40830
599	61090	40726
600	61188	40622
601	61292	40522
602	61382	40412
603	61481	40308
604	61577	40203
605	61678	40101
606	61786	40003
607	61887	39901
608	61983	39795
609	62083	39692
610	62172	39582
611	62273	39480
612	62381	39382
613	62480	39279
614	62578	39175
615	62666	39064
616	62786	38974
617	62881	38868
618	62979	38764
619	63075	38659
620	63199	38570
621	63316	38478
622	63500	38426
623	63667	38363
624	63773	38264
625	63871	38159
626	63969	38055
627	64059	37946
628	64149	37836
629	64245	37731
630	64337	37623
631	64439	37521
632	64533	37415
633	64608	37297
634	64696	37187
635	64801	37087
636	64904	36986
637	64995	36878
638	65087	36770
639	65182	36665
640	65291	36567
641	65376	36455
642	65472	36350
643	65572	36248
644	65679	36148
645	65783	36048
646	65896	35952
647	66009	35856
648	66124	35762
649	66242	35669
650	66359	35575
651	66469	35477
652	66592	35386
653	66710	35293
654	66836	35204
655	66968	35117
656	67076	35018
657	67163	34908
658	67258	34803
659	67358	34699
660	67461	34598
661	67577	34503
662	67684	34403
663	67788	34302
664	67891	34201
665	67982	34093
666	68073	33985
667	68194	33893
668	68335	33810
669	68471	33724
670	68621	33646
671	68772	33567
672	68888	33471
673	68977	33363
674	69085	33263
675	69190	33162
676	69290	33058
677	69409	32964
678	69538	32874
679	69653	32778
680	69768	32681
681	69881	32584
682	69993	32486
683	70120	32394
684	70251	32305
685	70359	32205
686	70450	32097
687	70540	31989
688	70641	31886
689	70752	31787
690	70855	31684
691	70948	31578
692	71053	31476
693	71151	31372
694	71261	31272
695	71364	31170
696	71467	31068
697	71580	30970
698	71700	30875
699	71800	30771
700	71901	30668
701	71993	30561
702	72093	30457
703	72180	30348
704	72274	30242
705	72369	30136
706	72461	30030
707	72562	29926
708	72678	29829
709	72781	29727
710	72882	29624
711	72986	29522
712	73108	29428
713	73210	29325
714	73308	29220
715	73409	29117
716	73507	29013
717	73619	28914
718	73745	28821
719	73876	28729
