iter	Passed	Remaining
0	21698	6487940
1	44262	6595171
2	61242	6062978
3	83549	6182667
4	98548	5814382
5	121220	5939804
6	140952	5899854
7	161445	5892762
8	180436	5834116
9	201428	5841435
10	203060	5334958
11	225907	5421788
12	248054	5476273
13	267554	5465759
14	287984	5471712
15	301327	5348563
16	316192	5263680
17	337365	5285394
18	364525	5391147
19	388357	5437001
20	407575	5414928
21	427673	5404235
22	449392	5412247
23	466075	5359869
24	491507	5406586
25	515081	5428169
26	537544	5435167
27	557545	5416154
28	562416	5255685
29	578818	5209369
30	598501	5193446
31	614312	5144870
32	618147	5001377
33	634964	4967662
34	655777	4965172
35	679134	4980318
36	699917	4975088
37	720381	4966837
38	742240	4967303
39	764825	4971365
40	785193	4960126
41	801903	4925975
42	822150	4913783
43	844352	4912593
44	865015	4901752
45	880590	4862392
46	900176	4845631
47	915660	4807216
48	931394	4771021
49	950754	4753774
50	966190	4717280
51	984370	4694689
52	1003770	4677949
53	1020903	4650782
54	1043187	4646925
55	1063221	4632607
56	1081608	4611069
57	1100493	4591715
58	1122866	4586624
59	1138346	4553386
60	1163025	4556773
61	1193442	4581278
62	1237707	4656138
63	1268365	4677095
64	1299652	4698741
65	1322807	4689954
66	1342022	4667034
67	1363055	4650423
68	1387929	4646545
69	1406863	4622551
70	1422557	4588248
71	1440330	4561046
72	1461308	4544068
73	1479908	4519721
74	1499696	4499089
75	1518816	4476511
76	1540040	4460118
77	1554941	4425602
78	1574298	4404049
79	1594028	4383578
80	1612821	4360590
81	1633044	4341507
82	1648105	4308903
83	1666912	4286346
84	1686126	4264908
85	1709411	4253652
86	1729424	4234107
87	1748870	4213188
88	1767583	4190563
89	1787117	4169939
90	1807790	4151958
91	1827741	4132284
92	1847812	4112872
93	1869694	4097416
94	1886577	4071035
95	1904540	4047148
96	1922408	4023183
97	1941493	4001853
98	1962955	3985393
99	1980145	3960291
100	1999351	3939316
101	2015471	3912385
102	2029798	3882235
103	2049430	3862388
104	2066425	3837648
105	2082398	3811181
106	2102999	3793259
107	2123056	3774322
108	2142332	3753995
109	2158482	3728288
110	2177203	3707129
111	2198073	3689622
112	2218080	3670629
113	2234809	3646267
114	2257771	3632067
115	2284887	3624304
116	2309406	3612148
117	2334854	3601215
118	2355098	3582124
119	2373787	3560680
120	2391809	3538297
121	2416578	3525827
122	2437480	3507594
123	2462668	3495399
124	2485373	3479523
125	2508816	3464556
126	2532027	3449140
127	2559732	3439640
128	2579865	3419821
129	2599603	3399480
130	2621870	3382412
131	2640390	3360496
132	2662464	3343094
133	2683594	3324453
134	2703543	3304330
135	2723935	3284746
136	2741607	3261913
137	2765331	3246259
138	2803294	3246981
139	2831084	3235525
140	2851231	3215218
141	2875073	3199025
142	2894962	3178385
143	2917101	3160193
144	2956639	3160545
145	2980790	3144121
146	2999656	3122091
147	3017913	3099478
148	3040115	3080922
149	3058283	3058283
150	3075441	3034707
151	3092987	3011593
152	3113646	2991542
153	3133469	2970691
154	3154854	2951315
155	3176091	2931776
156	3192089	2907444
157	3209546	2884528
158	3229780	2864144
159	3250342	2844049
160	3270161	2823307
161	3290566	2803075
162	3312731	2784320
163	3330156	2761592
164	3347057	2738501
165	3367742	2718538
166	3386503	2697035
167	3409045	2678535
168	3424624	2654590
169	3442955	2632848
170	3463387	2612731
171	3482724	2591794
172	3505167	2573157
173	3524736	2552395
174	3543251	2530893
175	3569213	2514672
176	3592849	2496725
177	3621940	2482453
178	3644557	2463639
179	3662792	2441861
180	3678818	2418670
181	3701007	2399554
182	3718696	2377527
183	3741654	2358869
184	3762863	2339077
185	3779977	2316760
186	3799970	2296238
187	3816228	2273497
188	3835919	2252841
189	3853560	2231008
190	3873796	2210700
191	3889676	2187942
192	3909378	2167375
193	3930274	2147469
194	3948315	2126016
195	3967710	2105315
196	3985525	2083802
197	4001708	2061486
198	4021744	2041187
199	4040883	2020441
200	4059364	1999388
201	4075274	1977113
202	4094643	1956553
203	4117094	1937456
204	4139873	1918478
205	4159227	1897899
206	4177772	1876970
207	4196641	1856206
208	4211624	1833769
209	4231602	1813544
210	4251481	1793278
211	4271666	1773144
212	4292186	1753146
213	4310649	1732316
214	4327140	1710729
215	4361370	1696088
216	4385121	1677258
217	4405547	1657132
218	4425760	1636925
219	4441527	1615100
220	4459956	1594283
221	4482825	1575046
222	4501829	1554443
223	4520599	1533774
224	4534260	1511420
225	4553540	1490982
226	4574745	1471173
227	4592305	1450201
228	4613468	1430376
229	4630641	1409325
230	4651337	1389360
231	4666051	1367635
232	4680439	1345877
233	4699398	1325471
234	4719967	1305522
235	4739597	1285314
236	4756828	1264473
237	4772901	1243360
238	4794800	1223777
239	4811275	1202818
240	4828896	1182177
241	4850623	1162546
242	4866915	1141622
243	4885442	1121248
244	4903704	1100831
245	4929347	1082051
246	4952384	1062657
247	4972620	1042646
248	4992820	1022625
249	5015947	1003189
250	5038844	983678
251	5061652	964124
252	5083269	944322
253	5100404	923695
254	5122788	904021
255	5146464	884548
256	5171798	865320
257	5197674	846133
258	5215702	825651
259	5238668	805948
260	5262570	786361
261	5286059	766680
262	5308727	746855
263	5331064	726963
264	5350216	706632
265	5370378	686439
266	5392560	666496
267	5410521	646032
268	5429575	625713
269	5450943	605660
270	5474356	585816
271	5502068	566389
272	5519191	545854
273	5544339	526105
274	5566107	506009
275	5587825	485897
276	5608899	465720
277	5627586	445348
278	5649020	425195
279	5671041	405074
280	5692119	384876
281	5712838	364649
282	5734077	344449
283	5752310	324073
284	5769234	303643
285	5793340	283590
286	5812352	263277
287	5835034	243126
288	5860572	223066
289	5878633	202711
290	5901577	182523
291	5919759	162185
292	5938245	141869
293	5957309	121577
294	5974810	101267
295	5997574	81048
296	6024996	60858
297	6050856	40609
298	6074152	20314
299	6094367	0
